,manufactured,brand,variant,owner,fuel,type,kms,price,city
0,2012,Maruti,Maruti Swift Dzire,1st Owner,Diesel,Manual,118117,316399,New Delhi
1,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,114506,341599,New Delhi
2,2014,Maruti,Maruti Ritz,1st Owner,Diesel,Manual,43382,344199,New Delhi
3,2013,Hyundai,Hyundai i20,1st Owner,Diesel,Manual,64361,355799,New Delhi
4,2014,Maruti,Maruti Swift,1st Owner,Petrol,Manual,107206,401599,New Delhi
5,2013,Honda,Honda City,1st Owner,Petrol,Manual,44119,461199,New Delhi
6,2013,Maruti,Maruti Swift,1st Owner,Diesel,Manual,45417,345299,New Delhi
7,2011,Hyundai,Hyundai i20,1st Owner,Petrol,Manual,29080,313099,New Delhi
8,2018,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,11773,476799,New Delhi
9,2017,Maruti,Maruti Ciaz,1st Owner,Diesel,Manual,82599,625999,New Delhi
10,2018,Maruti,Maruti Wagon R 1.0,1st Owner,Petrol,Manual,36699,438399,New Delhi
11,2012,Ford,Ford Fiesta,2nd Owner,Diesel,Manual,68356,313099,New Delhi
12,2012,Volvo,Volvo S60,2nd Owner,Diesel,Automatic,41361,940799,New Delhi
13,2018,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,23580,612399,New Delhi
14,2018,Maruti,Maruti Baleno,1st Owner,Petrol,Manual,26412,582799,New Delhi
15,2019,Tata,Tata Tiago,1st Owner,Petrol,Manual,5332,538099,New Delhi
16,2017,Hyundai,Hyundai Verna,1st Owner,Diesel,Automatic,43938,1025999,New Delhi
17,2014,Toyota,Toyota Fortuner,2nd Owner,Diesel,Automatic,123799,1341199,New Delhi
18,2013,BMW,BMW X3,2nd Owner,Diesel,Automatic,69697,1260499,New Delhi
19,2020,Hyundai,Hyundai Aura,1st Owner,Petrol,Manual,1441,581099,New Delhi
20,2018,Hyundai,Hyundai Tucson New,1st Owner,Diesel,Automatic,58368,1843799,New Delhi
21,2015,BMW,BMW 3 Series,2nd Owner,Diesel,Automatic,35591,1642499,New Delhi
22,2017,Mahindra,Mahindra TUV300,1st Owner,Diesel,Manual,19065,685699,New Delhi
23,2016,Maruti,Maruti S Cross,1st Owner,Diesel,Manual,117629,547399,New Delhi
24,2019,Maruti,Maruti New Wagon-R,1st Owner,Petrol,Manual,12445,523099,New Delhi
25,2014,Hyundai,Hyundai Xcent,1st Owner,Petrol,Manual,40927,422699,New Delhi
26,2018,Mahindra,Mahindra Bolero,1st Owner,Diesel,Manual,51739,729899,New Delhi
27,2015,Maruti,Maruti Swift,1st Owner,Diesel,Manual,37925,407499,New Delhi
28,2018,Honda,Honda City,1st Owner,Diesel,Manual,43730,843899,New Delhi
29,2017,Maruti,Maruti Ignis,1st Owner,Petrol,Automatic,18060,528199,New Delhi
30,2017,Maruti,Maruti Ignis,1st Owner,Petrol,Manual,15302,558999,New Delhi
31,2015,Ford,Ford New Figo,2nd Owner,Petrol,Manual,54011,360699,New Delhi
